sale_date,product_name,category,quantity,price
2025-09-27,Product_1,Clothing,9,80.05
2025-09-27,Product_2,Clothing,1,80.47
2025-09-27,Product_3,Beverage,8,79.51
2025-09-27,Product_4,Food,3,43.04
2025-09-27,Product_5,Electronics,0,25.36
2025-09-27,Product_6,Beverage,6,31.37
2025-09-27,Product_7,Food,4,43.0
2025-09-27,Product_8,Electronics,6,98.87
2025-09-27,Product_9,Electronics,4,51.84
2025-09-27,Product_10,Clothing,2,40.91
2025-09-27,Product_11,Clothing,8,90.23
2025-09-27,Product_12,Beverage,1,53.12
2025-09-27,Product_13,Food,1,58.13
2025-09-27,Product_14,Beverage,5,42.98
2025-09-27,Product_15,Beverage,2,78.06
2025-09-27,Product_16,Food,8,85.37
2025-09-27,Product_17,Beverage,-4,53.82
2025-09-27,Product_18,Food,4,74.19
2025-09-27,Product_19,Clothing,6,39.79
2025-09-27,Product_20,Electronics,1,17.87
2025-09-28,Product_1,Beverage,4,23.5
2025-09-28,Product_2,Beverage,4,6.71
2025-09-28,Product_3,Electronics,3,27.5
2025-09-28,Product_4,Electronics,3,94.35
2025-09-28,Product_5,Clothing,3,56.57
2025-09-28,Product_6,Beverage,0,99.86
2025-09-28,Product_7,Food,5,48.18
2025-09-28,Product_8,Clothing,5,69.07
2025-09-28,Product_9,Beverage,4,39.78
2025-09-28,Product_10,Electronics,2,90.31
2025-09-28,Product_11,Electronics,6,24.55
2025-09-28,Product_12,Beverage,3,44.21
2025-09-28,Product_13,Food,5,5.82
2025-09-28,Product_14,Electronics,4,38.62
2025-09-28,Product_15,Electronics,-8,14.24
2025-09-28,Product_16,Food,3,69.42
2025-09-28,Product_17,Clothing,8,52.72
2025-09-28,Product_18,Electronics,3,81.09
2025-09-28,Product_19,Food,6,97.33
2025-09-28,Product_20,Clothing,5,60.81
2025-09-29,Product_1,Food,4,21.11
2025-09-29,Product_2,Food,9,91.95
2025-09-29,Product_3,Beverage,4,55.97
2025-09-29,Product_4,Food,5,89.38
2025-09-29,Product_5,Clothing,3,5.91
2025-09-29,Product_6,Food,2,72.37
2025-09-29,Product_7,Electronics,5,78.8
2025-09-29,Product_8,Food,5,10.48
2025-09-29,Product_9,Electronics,2,61.47
2025-09-29,Product_10,Beverage,5,70.84
2025-09-29,Product_11,Beverage,7,41.04
2025-09-29,Product_12,Clothing,3,92.94
2025-09-29,Product_13,Food,1,41.36
2025-09-29,Product_14,Clothing,7,73.65
2025-09-29,Product_15,Clothing,10,70.97
2025-09-29,Product_16,Electronics,3,92.05
2025-09-29,Product_17,Clothing,5,68.24
2025-09-29,Product_18,Beverage,3,44.05
2025-09-29,Product_19,Food,3,66.57
2025-09-29,Product_20,Beverage,2,41.32
2025-09-30,Product_1,Electronics,1,75.56
2025-09-30,Product_2,Beverage,1,60.47
2025-09-30,Product_3,Beverage,3,25.67
2025-09-30,Product_4,Electronics,5,92.4
2025-09-30,Product_5,Beverage,4,85.93
2025-09-30,Product_6,Clothing,1,18.28
2025-09-30,Product_7,Electronics,0,12.46
2025-09-30,Product_8,Food,4,48.01
2025-09-30,Product_9,Clothing,9,95.65
2025-09-30,Product_10,Clothing,3,37.39
2025-09-30,Product_11,Food,10,13.02
2025-09-30,Product_12,Clothing,0,9.48
2025-09-30,Product_13,Beverage,5,24.39
2025-09-30,Product_14,Food,2,12.8
2025-09-30,Product_15,Food,5,94.94
